bestVendorBuylist,bestVendorBuylistPrice,countForTrade,date,fair_price,lowestPrice,lowestPriceVendor,name,quantity,setName
Card Kingdom,0.05,0,2020-02-08_1130,0.14,0.14,TCG Player,Lazotep Plating,0,War_of_the_Spark
ABUGames,0.02,0,2020-02-08_1130,0.1,0.1,TCG Player,Lazotep Reaver,0,War_of_the_Spark
Card Kingdom,0.05,0,2020-02-08_1130,0.11,0.11,TCG Player,Leyline Prowler,0,War_of_the_Spark
StrikeZone,0.1,0,2020-02-08_1130,0.15,0.15,TCG Player,Liliana's Triumph,0,War_of_the_Spark
Miniature Market,40.0,0,2020-02-08_1130,15.85,15.85,TCG Player,"Liliana, Dreadhorde General",0,War_of_the_Spark
TCG Player,0.25,0,2020-02-08_1130,0.26,0.25,Card Kingdom,Living Twister,0,War_of_the_Spark
UNDEFINED,0.0,0,2020-02-08_1130,0.01,0.01,TCG Player,Makeshift Battalion,0,War_of_the_Spark
Card Kingdom,0.05,0,2020-02-08_1130,0.1,0.1,TCG Player,Mana Geode,0,War_of_the_Spark
CoolStuff,0.5,0,2020-02-08_1130,0.34,0.34,TCG Player,Massacre Girl,0,War_of_the_Spark
StrikeZone,0.1,0,2020-02-08_1130,0.25,0.25,Card Kingdom,Mayhem Devil,0,War_of_the_Spark
Card Kingdom,0.05,0,2020-02-08_1130,0.09,0.09,TCG Player,Merfolk Skydiver,0,War_of_the_Spark
ChannelFireball,0.1,0,2020-02-08_1130,0.1,0.1,TCG Player,Mizzium Tank,0,War_of_the_Spark
ABUGames,0.14,0,2020-02-08_1130,0.21,0.21,TCG Player,Mobilized District,0,War_of_the_Spark
Card Kingdom,0.02,0,2020-02-08_1130,0.05,0.05,TCG Player,Mountain,0,War_of_the_Spark
UNDEFINED,0.0,0,2020-02-08_1130,0.04,0.04,TCG Player,"Mowu, Loyal Companion",0,War_of_the_Spark
CoolStuff,0.25,0,2020-02-08_1130,0.08,0.08,TCG Player,"Nahiri, Storm of Stone",0,War_of_the_Spark
Card Kingdom,1.4,0,2020-02-08_1130,2.16,0.99,StrikeZone,Narset's Reversal,0,War_of_the_Spark
CoolStuff,8.0,0,2020-02-08_1130,2.26,1.99,StrikeZone,"Narset, Parter of Veils",0,War_of_the_Spark
CoolStuff,0.15,0,2020-02-08_1130,0.49,0.33,StrikeZone,"Neheb, Dreadhorde Champion",0,War_of_the_Spark
StrikeZone,0.1,0,2020-02-08_1130,0.25,0.25,Card Kingdom,Neoform,0,War_of_the_Spark
Miniature Market,8.0,0,2020-02-08_1130,7.5,7.5,TCG Player,"Nicol Bolas, Dragon-God",0,War_of_the_Spark
UNDEFINED,0.0,0,2020-02-08_1130,0.08,0.08,TCG Player,Nissa's Triumph,0,War_of_the_Spark
CoolStuff,10.0,0,2020-02-08_1130,6.95,4.49,TrollAndToad,"Nissa, Who Shakes the World",0,War_of_the_Spark
Card Kingdom,5.0,0,2020-02-08_1130,7.0,1.78,TrollAndToad,Niv-Mizzet Reborn,0,War_of_the_Spark
UNDEFINED,0.0,0,2020-02-08_1130,0.01,0.01,TCG Player,No Escape,0,War_of_the_Spark
Card Kingdom,0.52,0,2020-02-08_1130,0.99,0.29,StrikeZone,Oath of Kaya,0,War_of_the_Spark
TCG Player,0.01,0,2020-02-08_1130,0.05,0.05,TCG Player,Ob Nixilis's Cruelty,0,War_of_the_Spark
Miniature Market,0.25,0,2020-02-08_1130,0.15,0.15,TCG Player,"Ob Nixilis, the Hate-Twisted",0,War_of_the_Spark
ABUGames,0.02,0,2020-02-08_1130,0.13,0.13,TCG Player,Orzhov Guildgate,0,War_of_the_Spark
StrikeZone,0.25,0,2020-02-08_1130,0.32,0.32,TCG Player,Paradise Druid,0,War_of_the_Spark
ChannelFireball,0.08,0,2020-02-08_1130,0.15,0.15,TCG Player,Parhelion II,0,War_of_the_Spark
UNDEFINED,0.0,0,2020-02-08_1130,0.06,0.06,TCG Player,Plains,0,War_of_the_Spark
